time,global_base_link_position.x,global_base_link_position.y,global_base_link_position.z,global_base_link_rotation.x,global_base_link_rotation.y,global_base_link_rotation.z,global_base_link_rotation.w,bsae_linear_vel_x,bsae_linear_vel_y,bsae_linear_vel_z,bsae_angular_vel_x,bsae_angular_vel_y,bsae_angular_vel_z,local_Link_head_yaw_rotation,local_Link_head_pitch_rotation,local_Link_arm_l_01_rotation,local_Link_arm_l_02_rotation,local_Link_arm_l_03_rotation,local_Link_arm_l_04_rotation,local_Link_arm_l_05_rotation,local_Link_arm_l_06_rotation,local_Link_arm_l_07_rotation,local_Link_arm_r_01_rotation,local_Link_arm_r_02_rotation,local_Link_arm_r_03_rotation,local_Link_arm_r_04_rotation,local_Link_arm_r_05_rotation,local_Link_arm_r_06_rotation,local_Link_arm_r_07_rotation,local_Link_waist_pitch_rotation,local_Link_waist_roll_rotation,local_Link_waist_yaw_rotation,local_Link_hip_l_roll_rotation,local_Link_hip_l_yaw_rotation,local_Link_hip_l_pitch_rotation,local_Link_knee_l_pitch_rotation,local_Link_ankle_l_pitch_rotation,local_Link_ankle_l_roll_rotation,local_Link_hip_r_roll_rotation,local_Link_hip_r_yaw_rotation,local_Link_hip_r_pitch_rotation,local_Link_knee_r_pitch_rotation,local_Link_ankle_r_pitch_rotation,local_Link_ankle_r_roll_rotation
0.004166667,0,0,1.140855074,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001142546,-3.77E-05,0.001717166,-0.003256484,-0.00808628,7.59E-07,-0.001046224,-0.000139638,0.000548677,-0.000448867,-0.001414494,5.21E-07
0.008333333,9.38E-06,0,1.140855074,0,0,0,1,0.002251511,0,0,0,0,0,0,0,1.22E-05,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001142546,-3.82E-05,0.001705126,-0.003256365,-0.008074359,5.21E-07,-0.001045986,-0.000142856,0.000656323,-0.000519677,-0.001350359,4.01E-07
0.0125,3.76E-05,0,1.140855074,0,0,0,1,0.006765943,0,0,0,0,0,0,0,4.84E-05,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001142426,-3.94E-05,0.001669125,-0.003256007,-0.008038716,7.59E-07,-0.001044913,-0.000152155,0.000976161,-0.000729724,-0.001161293,2.82E-07
0.016666667,8.46E-05,0,1.140855074,0,0,0,1,0.011297488,0,0,0,0,0,0,0,0.000107996,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001142307,-4.15E-05,0.001609043,-0.003255411,-0.00797923,7.59E-07,-0.001043244,-0.000167533,0.001503424,-0.001075788,-0.000852064,1.63E-07
0.020833333,0.000150671,0,1.140855074,0,0,0,1,0.015846157,0,0,0,0,0,0,0,0.000190263,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001141949,-4.46E-05,0.001524882,-0.003254577,-0.007895784,8.78E-07,-0.00104086,-0.000188752,0.0022337,-0.001555606,-0.000426964,5.21E-07
0.025,0.000235721,0,1.140855074,0,0,0,1,0.020411938,0,0,0,0,0,0,0,0.000294583,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001141473,-4.86E-05,0.001416401,-0.003253384,-0.007788495,5.21E-07,-0.001037641,-0.000215932,0.003162698,-0.002166673,0.000108882,4.01E-07
0.029166667,0.000339866,0,1.140855074,0,0,0,1,0.024994833,0,0,0,0,0,0,0,0.000420308,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001140996,-5.33E-05,0.001283602,-0.003252073,-0.007657007,5.21E-07,-0.001034065,-0.000248714,0.004285649,-0.002906485,0.000750705,4.01E-07
0.033333333,0.000463178,0,1.140855074,0,0,0,1,0.029594835,0,0,0,0,0,0,0,0.000566789,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.0011404,-5.89E-05,0.001126365,-0.003250643,-0.007501558,8.78E-07,-0.001029535,-0.000287219,0.005599574,-0.003773733,0.001493736,2.82E-07
0.0375,0.000605728,0,1.140855074,0,0,0,1,0.034211993,0,0,0,0,0,0,0,0.000733378,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001139565,-6.55E-05,0.00094469,-0.003248854,-0.007322148,6.40E-07,-0.001024409,-0.000331207,0.007100538,-0.004766866,0.002330347,2.82E-07
0.041666667,0.000767587,0,1.140855074,0,0,0,1,0.038846206,0,0,0,0,0,0,0,0.000919425,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.00113885,-7.29E-05,0.000738339,-0.003247305,-0.007118658,6.40E-07,-0.001018449,-0.000380679,0.008784846,-0.005884929,0.003255769,5.21E-07
